quick lunch,fastfood
drive through pick up food,fastfood
cheap,fastfood
affordable,fastfood
need food fast,fastfood
something inexpensive,fastfood
good for the wallet,fastfood
prefer something simple,fastfood
express food,fastfood
need it on the go,fastfood
prefer take out,fastfood
expedited,fastfood
bigmac,fastfood
fries,fastfood
breakfast,breakfast
"eggs, bacons and sausage",breakfast
pancakes and waffles,breakfast
early risers,breakfast
good starter,breakfast
cereal,breakfast
energy booster,breakfast
morning food,breakfast
first meal,breakfast
pancake,breakfast
waffle,breakfast
brunch,breakfast
coffee,breakfast
sunny side up,breakfast
daybreak,breakfast
good meal to start the day,breakfast
good food to start the day,breakfast
good steak,dinner
filet mignon,dinner
dinner,dinner
want sonething fancy,dinner
date night,dinner
classy,dinner
fine dining,dinner
sit down setting,dinner
prefer to have wine on the side,dinner
expensive,dinner
good night out,dinner
prefer something upscale,dinner
romantic setting,dinner
nice evening meal,dinner
something ellegant,dinner
exotic,dinner
mood,dinner
